fish,stage,day,plotday,trial,EST,yds,distance
fish10,ReRotation,12,62,5,1.0,-0.842887305,3.044924695
fish10,ReRotation,13,63,1,0.920686874,-3.940716993,4.133932878
fish10,ReRotation,13,63,2,0.036106262,-12.85307462,3.91626405
fish10,ReRotation,13,63,3,0.0,-12.85359437,4.31850223
fish10,ReRotation,13,63,4,1.0,-0.791349722,2.258454925
fish10,ReRotation,13,63,5,0.870494995,-4.53946342,3.426842893
fish10,ReRotation,13,63,6,0.870018158,-4.383694052,3.7629941
fish10,ReRotation,14,64,1,1.0,0.254617968,3.801294699
fish10,ReRotation,14,64,2,0.0,-21.52767926,5.171819765
fish10,ReRotation,14,64,3,0.965366516,-3.339204516,3.104013576
fish10,ReRotation,14,64,4,0.0,17.38916264,5.358090272
fish10,ReRotation,14,64,5,1.0,-0.874596965,2.564107585
fish10,ReRotation,14,64,6,1.0,0.248573666,2.73456781
fish10,ReRotation,15,65,1,0.96257225,-3.511801506,2.108414645
fish10,ReRotation,15,65,2,0.992670212,2.930016716,2.893217105
fish10,ReRotation,15,65,3,0.0,-29.53955269,5.711170667
fish10,ReRotation,15,65,4,1.0,-2.495381141,2.099540299
fish10,ReRotation,15,65,5,1.0,0.125299893,2.254680435
fish10,ReRotation,15,65,6,0.0,-27.27685678,7.412216552
fish10,ReWashout,1,66,1,0.465221558,-8.334242508,2.384344732
fish10,ReWashout,1,66,2,0.795974884,-5.1188114,2.279276415
fish10,ReWashout,1,66,3,0.843868408,-4.608811099,2.472054495
fish10,ReWashout,1,66,4,0.68869606,-6.293376872,2.290104014
fish10,ReWashout,1,66,5,0.52158371,-8.147624651,2.355583552
fish10,ReWashout,1,66,6,0.0,-16.88269686,4.233399562
fish10,ReWashout,2,67,1,1.0,-2.195984195,2.225800868
fish10,ReWashout,2,67,2,0.0,-28.9499244,8.917707398
fish10,ReWashout,2,67,3,0.584049377,-7.000269503,2.786308731
fish10,ReWashout,2,67,4,1.0,-2.770958905,2.246799742
fish10,ReWashout,2,67,5,0.0,-40.43221671,6.992517483
fish10,ReWashout,2,67,6,1.0,-2.840039124,2.360980834
fish10,ReWashout,3,68,1,0.658474121,-6.380232094,2.422719624
fish10,ReWashout,3,68,2,0.488109741,-8.17803972,2.664284009
fish10,ReWashout,3,68,3,0.523939285,-8.226029126,2.597973111
fish10,ReWashout,3,68,4,0.489626083,-8.311834355,2.603216034
fish10,ReWashout,3,68,5,0.678444061,-6.266565619,2.407968599
fish10,ReWashout,3,68,6,0.453682098,-8.885031705,2.337029439
fish10,ReWashout,4,69,1,0.21947876,-10.93670654,2.376848891
fish10,ReWashout,4,69,2,0.0,13.81595505,5.250037059
fish10,ReWashout,4,69,3,0.0,-31.01308272,5.965786939
fish10,ReWashout,4,69,4,0.076065216,-12.61720961,2.71397314
fish10,ReWashout,4,69,5,0.0,-25.65648812,5.672343126
fish10,ReWashout,4,69,6,0.0,-13.80674529,3.423367333
fish10,ReWashout,5,70,1,0.567245636,-7.983365679,2.86868854
fish10,ReWashout,5,70,2,0.543785248,-7.867208747,2.327939831
fish10,ReWashout,5,70,3,0.0,-15.39660849,4.649886899
fish10,ReWashout,5,70,4,0.963697586,3.146416094,3.708943452
fish10,ReWashout,5,70,5,0.0,-27.02925244,6.547914236
fish10,ReWashout,5,70,6,0.0,-20.24608012,6.445005235
fish10,ReWashout,6,71,1,0.764732513,-5.620006396,2.253797074
fish10,ReWashout,6,71,2,0.94886795,-3.553297613,2.65662667
fish10,ReWashout,6,71,3,0.36995903,-9.702928955,2.700919117
fish10,ReWashout,6,71,4,0.55490509,-8.274044482,2.834133938
fish10,ReWashout,6,71,5,0.577993546,-7.46403401,2.542651228
fish10,ReWashout,6,71,6,0.0,-15.63508395,6.122268227
